City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,regina,50.4501,-104.6178,7.06,85,100,1.54,CA,1682584735
83,haiku-pauwela,20.9219,-156.3051,22.01,85,100,4.63,US,1682584778
84,okeechobee,27.2439,-80.8298,20.56,100,0,0.0,US,1682584778
85,urucara,-2.5364,-57.76,21.89,99,100,1.25,BR,1682584780
86,utrik,11.2278,169.8474,26.77,83,17,9.22,MH,1682584781
87,saint-pierre,-21.3393,55.4781,27.82,57,0,4.63,RE,1682584781
88,hilo,19.7297,-155.09,24.6,85,75,1.54,US,1682584495
89,grand-bassam,5.2118,-3.7388,28.98,74,100,4.13,CI,1682584782
90,deyang,31.1302,104.382,21.96,56,100,2.43,CN,1682584783
91,cabo san lucas,22.8909,-109.9124,21.4,65,5,5.72,MX,1682584784
92,abepura,-2.6333,140.5833,29.45,70,20,2.57,ID,1682584784
93,port mathurin,-19.6833,63.4167,26.21,80,20,5.05,MU,1682584785
94,rundu,-17.9333,19.7667,30.77,20,6,2.74,NA,1682584786
95,dryden,49.7833,-92.7503,1.16,100,100,3.09,CA,1682584787
96,east london,-33.0153,27.9116,25.52,53,0,2.06,ZA,1682584788
97,khandyga,62.6667,135.6,2.75,93,72,0.93,RU,1682584788
98,eyl,7.9803,49.8164,33.56,54,72,5.43,SO,1682584789
99,bouna,9.2667,-3.0,27.34,64,100,3.42,CI,1682584789
100,bredasdorp,-34.5322,20.0403,20.61,59,68,9.94,ZA,1682584592
101,calabozo,8.9242,-67.4293,25.87,72,3,1.77,VE,1682584791
102,callao,-12.0667,-77.15,24.16,73,0,3.6,PE,1682584587
103,hithadhoo,-0.6,73.0833,29.22,73,80,5.4,MV,1682584792
104,nelson bay,-32.7167,152.15,21.11,83,1,4.02,AU,1682584792
105,hafar al-batin,28.4328,45.9708,31.32,29,0,2.06,SA,1682584793
106,hirara,24.8,125.2833,23.15,88,75,4.12,JP,1682584794
107,port alfred,-33.5906,26.891,22.88,84,100,5.36,ZA,1682584794
108,hami,42.8,93.45,18.57,11,65,8.23,CN,1682584755
109,codrington,-38.2667,141.9667,16.1,76,0,1.23,AU,1682584795
110,choibalsan,48.0667,114.5,8.32,13,16,11.16,MN,1682584796
111,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,48,0,6.0,RU,1682584797
112,harper,4.375,-7.7169,28.66,73,95,3.31,LR,1682584797
113,lodja,-3.4833,23.4333,29.49,58,100,2.04,CD,1682584798
114,alfredo chaves,-20.635,-40.7497,21.14,93,8,1.72,BR,1682584798
115,laibin,23.7,109.2667,22.41,83,100,2.69,CN,1682584799
116,noshiro,40.2039,140.0242,12.46,61,27,2.46,JP,1682584758
117,bubaque,11.2833,-15.8333,25.18,68,100,6.82,GW,1682584800
118,phulpur,25.55,82.1,36.19,19,100,3.68,IN,1682584801
119,tuxtepec,18.1,-96.1167,25.75,79,67,0.15,MX,1682584802
120,thompson,55.7435,-97.8558,0.09,69,0,4.12,CA,1682584803
121,ebon,4.582,168.6964,28.54,78,91,6.32,MH,1682584804
122,sevastopol,44.6,33.5333,11.67,73,100,0.45,UA,1682584805
123,punta arenas,-53.15,-70.9167,6.06,75,75,7.2,CL,1682584806
124,keflavik,64.0049,-22.5624,1.24,100,100,6.17,IS,1682584806
125,saint-philippe,-21.3585,55.7679,27.77,66,5,3.19,RE,1682584807
126,susuman,62.7833,148.1667,-4.13,86,100,1.36,RU,1682584808
127,luderitz,-26.6481,15.1594,21.36,51,2,3.04,NA,1682584808
128,malvan,16.0667,73.4667,30.22,59,15,7.07,IN,1682584809
129,aral,40.5156,81.2636,22.78,14,99,2.39,CN,1682584810
130,taltal,-25.4,-70.4833,16.32,84,67,0.41,CL,1682584220
131,port lincoln,-34.7333,135.8667,17.03,76,3,6.06,AU,1682584575
132,elizabethton,36.3487,-82.2107,11.58,67,0,0.0,US,1682584749
133,polyarnyy,69.1989,33.4478,1.34,88,75,7.37,RU,1682584812
134,torchiarolo,40.4842,18.0525,16.76,50,1,6.33,IT,1682584813
135,whitehorse,60.7161,-135.0538,1.43,64,75,5.66,CA,1682584546
136,bonawon,9.134,122.9193,30.89,70,81,2.35,PH,1682584814
137,harker heights,31.0835,-97.6597,16.38,97,100,3.6,US,1682584565
138,nguigmi,14.2495,13.1092,33.11,22,99,4.47,NE,1682584817
139,gizo,-8.103,156.8419,28.61,74,11,1.08,SB,1682584818
140,sitia,35.2,26.0986,19.99,66,23,7.6,GR,1682584819
141,casablanca,33.5928,-7.6192,30.01,78,95,3.09,MA,1682584667
